start_date_local,type,distance,moving_time,average_speed,streak,location_country
2022-10-14 07:37:47,Run,2355.35,0:50:46,0:21:33,1,"{'latitude': 30.452068, 'longitude': 114.43465, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.455008, 'startLongitude': 114.433268}"
2022-10-20 07:30:13,Run,3008.58,0:22:38,0:07:31,1,"{'latitude': 30.454863, 'longitude': 114.437676, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.454425, 'startLongitude': 114.43369}"
2023-03-12 10:39:47,Run,4078.08,0:45:08,0:11:04,1,"{'latitude': 30.663227, 'longitude': 114.330875, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江岸区', 'districtCode': '420102', 'startLatitude': 30.650171, 'startLongitude': 114.320014}"
2023-03-15 08:52:32,Run,2007.33,0:17:19,0:08:37,1,"{'latitude': 30.457704, 'longitude': 114.433588, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.452546, 'startLongitude': 114.431028}"
2023-03-25 06:18:40,Run,5119.54,0:45:22,0:08:51,1,"{'latitude': 30.657851, 'longitude': 114.335554, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江岸区', 'districtCode': '420102', 'startLatitude': 30.653937, 'startLongitude': 114.330721}"
2023-03-28 07:43:10,Run,4934.21,0:53:41,0:10:52,1,"{'latitude': 30.453323, 'longitude': 114.434196, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.454907, 'startLongitude': 114.42107}"
2023-03-29 07:53:09,Run,4647.65,1:02:34,0:13:27,2,"{'latitude': 30.469486, 'longitude': 114.44315, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.45465, 'startLongitude': 114.431029}"
2023-03-29 20:52:16,Run,2896.69,0:42:35,0:14:42,2,"{'latitude': 30.661554, 'longitude': 114.337546, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江岸区', 'districtCode': '420102', 'startLatitude': 30.65978, 'startLongitude': 114.338902}"
2023-03-30 08:15:02,Run,2324.31,0:28:00,0:12:02,3,"{'latitude': 30.451546, 'longitude': 114.435633, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.453248, 'startLongitude': 114.43424}"
2023-03-31 07:11:25,Run,5354.81,0:55:47,0:10:25,4,"{'latitude': 30.452018, 'longitude': 114.419871, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.45355, 'startLongitude': 114.430799}"
